GeneId	Symbol	Normal_transcript	Tumor_transcript	MS	M	S	N	p.o	OR	eOR
81888	HYI	uc001cjm.2	uc001cjo.2	0	1	1	93	1	0	20.7777777777778
818	CAMK2G	uc001jvp.1	uc001jvm.1	0	5	1	88	1	0	5.36363636363636
818	CAMK2G	uc001jvp.1	uc001jvr.1	0	5	1	88	1	0	5.36363636363636
81926	FAM108A1	uc002lug.2	uc002lue.2	0	2	3	90	1	0	5.17142857142857
81932	HDHD3	uc004bhk.2	uc004bhi.1	0	2	1	92	1	0	12.3333333333333
81	ACTN4	uc002oja.1	uc002ojb.1	1	24	3	141	0.476175941510333	1.94880288137728	2.47521865889213
8216	LZTR1	uc002zto.2	uc002ztp.2	0	3	1	91	1	0	8.71428571428571
8220	DGCR14	uc002zou.2	uc002zot.2	0	3	1	91	1	0	8.71428571428571
8226	HDHD1A	uc004crv.2	uc010ndl.2	0	28	3	110	1	0	0.553884711779449
823	CAPN1	uc001odg.1	uc001odf.1	0	18	4	182	1	0	1.0960960960961
8242	KDM5C	uc004drz.2	uc004dsa.2	1	3	0	91	0.0421052631578948	Inf	78.4285714285714
827	CAPN6	uc004epc.1	uc011msu.1	0	5	3	87	1	0	2.27272727272727
8301	PICALM	uc001pbl.2	uc001pbm.2	0	13	1	81	1	0	2.01234567901235
8310	ACOX3	uc010idk.2	uc003glc.3	0	22	2	116	1	0	1.03555555555556
8314	BAP1	uc003ddx.2	uc010hmh.2	0	1	2	92	1	0	12.3333333333333
8323	FZD6	uc003ylj.2	uc011lho.1	0	11	3	152	1	0	1.8944099378882
8334	HIST1H2AC	uc003ngn.2	uc003ngp.2	0	3	1	91	1	0	8.71428571428571
83440	ADPGK	uc010ukw.1	uc002ave.3	0	12	4	143	1	0	1.27555555555556
83593	RASSF5	uc001hef.2	uc001hed.2	0	37	5	144	1	0	0.35030303030303
83605	CCM2	uc003tmn.2	uc003tmp.2	0	13	2	113	1	0	1.68148148148148
83605	CCM2	uc003tmn.2	uc003tmo.2	0	12	1	81	1	0	2.17333333333333
83637	ZMIZ2	uc003tlr.2	uc010kyk.1	0	4	1	90	1	0	6.7037037037037
83666	PARP9	uc003eff.3	uc003efg.2	0	14	5	148	1	0	0.931034482758621
83690	CRISPLD1	uc003yan.2	uc011lfk.1	0	9	1	85	1	0	3
83732	RIOK1	uc003mxn.2	uc003mxo.2	0	1	1	93	1	0	20.7777777777778
83786	FRMD8	uc001odu.3	uc009yqj.2	0	9	6	195	1	0	1.582995951417
83858	ATAD3B	uc001afx.2	uc001afy.2	0	2	1	92	1	0	12.3333333333333
83862	TMEM120A	uc003uec.2	uc003ueb.1	0	1	1	93	1	0	20.7777777777778
83871	RAB34	uc010wau.1	uc002hce.2	0	1	1	93	1	0	20.7777777777778
83876	MRO	uc010dpa.2	uc002lex.3	0	5	1	89	1	0	5.42424242424242
83930	STARD3NL	uc003tfr.2	uc003tft.2	0	8	1	86	1	0	3.3921568627451
