Tumor	GeneId	Symbol	Normal_transcript	Tumor_transcript	MS	M	S	N	p.o
brca	37	ACADVL	uc010vtp.1	uc002gew.2	0	1	1	93	1
brca	41	ACCN2	uc009zlo.2	uc001rvw.2	0	5	1	89	1
brca	53	ACP2	uc001nei.2	uc010rhf.1	0	3	2	89	1
brca	53	ACP2	uc001nei.2	uc010rhg.1	0	3	1	89	1
brca	55	ACPP	uc003eop.3	uc003eon.3	0	8	1	86	1
brca	100	ADA	uc002xmj.2	uc010ggt.2	0	4	1	90	1
brca	116	ADCYAP1	uc010dkg.2	uc010dkh.2	0	1	1	93	1
brca	128	ADH5	uc003hui.2	uc003huj.2	0	2	3	90	1
brca	166	AES	uc002lwy.1	uc002lxa.1	0	2	1	92	1
brca	183	AGT	uc001hty.3	uc009xff.2	0	1	1	93	1
brca	189	AGXT	uc002wab.3	uc002waa.3	0	1	1	93	1
brca	208	AKT2	uc002onf.2	uc010egt.2	0	6	1	88	1
brca	244	ANXA8L2	uc001jem.2	uc009xnh.1	0	2	1	92	1
brca	262	AMD1	uc003puk.1	uc011eba.1	0	17	1	77	1
brca	309	ANXA6	uc003ltl.1	uc003ltm.1	0	7	1	87	1
brca	311	ANXA11	uc001kbu.1	uc001kbs.1	0	4	1	90	1
brca	317	APAF1	uc001tgc.2	uc009zto.2	0	14	1	80	1
brca	329	BIRC2	uc001pgy.2	uc010ruq.1	0	7	1	87	1
brca	333	APLP1	uc010xsz.1	uc002ocf.2	0	1	1	93	1
brca	334	APLP2	uc001qfp.2	uc009zcv.2	0	15	1	79	1
brca	351	APP	uc002ylz.2	uc011acg.1	0	35	1	58	1
brca	368	ABCC6	uc002dem.2	uc002deo.3	0	12	1	82	1
brca	433	ASGR2	uc002gen.1	uc002geq.3	0	5	1	89	1
brca	440	ASNS	uc003uov.3	uc011kin.1	0	5	1	89	1
brca	444	ASPH	uc011leg.1	uc011lek.1	0	19	1	75	1
brca	460	ASTN1	uc001glc.2	uc009wwx.1	0	42	1	52	1
brca	473	RERE	uc001apd.2	uc001apf.2	0	43	1	51	1
brca	488	ATP2A2	uc009zvn.2	uc001tql.3	0	6	1	88	1
brca	522	ATP5J	uc002ylt.2	uc002ylu.2	0	1	1	93	1
brca	582	BBS1	uc001oij.1	uc010rpg.1	0	4	1	90	1
brca	587	BCAT2	uc002pkr.2	uc002pkt.2	0	5	4	86	1
brca	598	BCL2L1	uc002wwl.2	uc002wwn.2	0	7	1	87	1
brca	622	BDH1	uc003fxs.2	uc003fxu.2	0	9	1	85	1
brca	627	BDNF	uc001mrv.2	uc001mrw.3	0	13	1	81	1
brca	642	BLMH	uc002hez.1	uc010wbn.1	0	3	2	90	1
brca	649	BMP1	uc003xbi.2	uc003xbb.2	0	4	2	89	1
brca	655	BMP7	uc010gip.1	uc010giq.1	0	10	1	84	1
brca	666	BOK	uc002wbq.2	uc002wbr.2	0	4	2	89	1
brca	710	SERPING1	uc001nks.1	uc001nkr.1	0	2	1	92	1
brca	725	C4BPB	uc001hfm.2	uc001hfk.2	0	2	1	92	1
brca	738	C11orf2	uc001ocr.1	uc001ocs.1	0	2	2	91	1
brca	752	FMNL1	uc010dag.2	uc002iiq.2	0	3	1	91	1
brca	757	TMEM50B	uc002yrt.1	uc002yrs.1	0	6	1	88	1
brca	765	CA6	uc001apm.2	uc009vmn.2	0	8	1	86	1
