Tumor	GeneId	Symbol	Normal_transcript	Tumor_transcript	Recurrence	Affects_mutated_feature	PPI	Pannegative
brca	23368	PPP1R13B	uc001yof.1	uc010awv.1	1	1	1	0
brca	338651	LOC338651	uc009ycx.1	uc001ltt.1	0	1	0	0
brca	728833	FAM72D	uc002qvn.1	uc010evy.1	0	0	0	0
brca	3632	INPP5A	uc001llp.2	uc001llq.2	0	0	0	0
brca	25904	CNOT10	uc003cfc.1	uc010hfw.1	1	0	0	0
brca	4173	MCM4	uc003xqk.1	uc011ldi.1	0	0	0	0
brca	9275	BCL7B	uc003tyf.1	uc003tye.1	0	0	0	0
brca	5306	PITPNA	uc010cju.2	uc002fst.3	0	0	0	0
brca	57446	NDRG3	uc002xfw.2	uc010zvr.1	1	0	0	0
brca	27333	GOLIM4	uc003ffe.2	uc011bpg.1	0	0	0	1
brca	2665	GDI2	uc001iil.3	uc001iim.3	1	0	0	0
brca	25793	FBXO7	uc003amu.2	uc003amt.2	1	0	0	0
brca	3422	IDI1	uc001iga.2	uc001igb.2	1	0	0	0
brca	9820	CUL7	uc003otq.2	uc010jyh.2	1	0	0	0
brca	25913	POT1	uc003vlm.2	uc003vlo.2	1	0	0	0
brca	114034	TOE1	uc009vxq.2	uc010olm.1	0	0	0	0
brca	3192	HNRNPU	uc001ibb.1	uc001iaz.1	0	1	1	0
brca	8314	BAP1	uc003ddx.2	uc010hmh.2	1	0	0	0
brca	84128	WDR75	uc002uql.1	uc002uqo.1	1	0	0	0
brca	26123	TCTN3	uc001klb.3	uc001kla.3	1	1	0	0
brca	11311	VPS45	uc001etp.2	uc001etq.2	1	0	0	0
brca	154141	MBOAT1	uc003ncx.1	uc011dji.1	1	0	0	0
brca	55008	HERC6	uc011cdi.1	uc011cdl.1	1	0	0	0
brca	23385	NCSTN	uc001fvx.2	uc010pjg.1	1	0	0	0
brca	347688	TUBB8	uc009xhe.2	uc001ifi.2	1	0	0	0
brca	81034	SLC25A32	uc003yll.2	uc011lhr.1	1	0	0	0
brca	11261	CHP	uc001znl.2	uc010bcd.1	1	0	0	0
brca	4088	SMAD3	uc010ujs.1	uc010ujr.1	0	0	0	0
brca	26160	IFT172	uc002rku.2	uc010ezb.2	1	0	0	0
brca	92140	MTDH	uc003yhz.2	uc010mbf.2	1	0	0	0
brca	57513	CASKIN2	uc002joc.2	uc010wsc.1	0	0	0	0
brca	80725	SRCIN1	uc002hqe.2	uc002hqd.2	0	0	0	0
brca	5836	PYGL	uc001wyu.2	uc010tqq.1	0	0	0	0
brca	57224	NHSL1	uc011edp.1	uc003qhx.2	0	1	0	0
brca	55718	POLR3E	uc002dkk.2	uc010vbt.1	0	0	0	0
brca	51141	INSIG2	uc002tlk.2	uc010yye.1	0	0	0	10
brca	5894	RAF1	uc003bxf.3	uc011aut.1	0	0	0	0
brca	10290	SPEG	uc010fwg.2	uc010fwh.1	0	1	0	0
brca	6927	HNF1A	uc001tzg.2	uc010szn.1	1	0	0	0
brca	4886	NPY1R	uc003iqm.1	uc011cjj.1	0	0	0	0
brca	11124	FAF1	uc009vyx.1	uc010onc.1	1	0	0	0
brca	9692	KIAA0391	uc001wsy.1	uc001wtc.1	1	0	0	0
brca	1152	CKB	uc001ynf.1	uc010awr.1	0	0	0	3
brca	923	CD6	uc001nqq.2	uc001nqt.2	0	0	0	0
brca	84289	ING5	uc002wcd.2	uc002wcc.1	1	0	1	0
brca	146225	CMTM2	uc010cdu.2	uc002ept.2	0	0	0	0
brca	64210	MMS19	uc001knt.2	uc001knq.2	1	0	0	0
brca	11117	EMILIN1	uc002rii.3	uc002rik.3	1	0	0	0
brca	8428	STK24	uc001vnn.1	uc001vnm.1	1	0	0	0
brca	11112	HIBADH	uc003szf.2	uc003szh.2	0	0	0	0
brca	55108	BSDC1	uc001bvh.3	uc010ohi.1	1	0	0	0
brca	64332	NFKBIZ	uc010hpo.2	uc003dvq.2	0	0	1	0
brca	340348	TSPAN33	uc003vop.1	uc003voq.1	1	0	0	0
brca	153769	SH3RF2	uc011dbl.1	uc011dbn.1	0	0	0	0
brca	5265	SERPINA1	uc001yda.1	uc001ycz.3	0	0	0	0
brca	6672	SP100	uc002vqq.1	uc002vqr.1	0	0	0	0
brca	79072	FASTKD3	uc003jeb.2	uc003jec.2	1	0	0	0
brca	56259	CTNNBL1	uc010zvw.1	uc002xhj.2	1	1	0	0
brca	11100	HNRNPUL1	uc010ehn.2	uc002oqf.3	0	0	0	0
brca	6730	SRP68	uc002jqk.1	uc002jqj.1	1	0	0	0
brca	55005	RMND1	uc003qoi.2	uc011eeq.1	1	0	0	0
brca	5305	PIP4K2A	uc001irl.3	uc010qcu.1	1	0	0	0
brca	25807	RHBDD3	uc003aeq.1	uc003aer.1	0	0	0	0
brca	55343	SLC35C1	uc001nbp.2	uc010rgm.1	0	0	0	0
brca	3712	IVD	uc001zls.3	uc001zlr.2	1	0	0	0
brca	152687	ZNF595	uc003fzv.1	uc010iay.1	0	1	0	0
brca	896	CCND3	uc003orp.2	uc003oro.2	0	0	1	0
brca	11021	RAB35	uc001txm.1	uc010szg.1	1	1	0	0
brca	115992	RNF166	uc002flk.2	uc002fll.2	0	0	0	0
brca	51720	UIMC1	uc003mfd.1	uc003mfh.1	1	1	0	0
brca	1643	DDB2	uc001neb.2	uc001neg.2	1	0	0	0
brca	3921	RPSA	uc003cjp.2	uc003cjr.2	0	0	0	0
brca	3174	HNF4G	uc003yar.2	uc003yaq.2	0	0	0	10
brca	65985	AACS	uc001uhc.2	uc009zyh.2	1	0	0	0
